,Year,latbin,lonbin,WEIGHTED_INCIDENT_SCORE,RANK
502,2004,42.24,-71.815,496,0.13285024154589373
503,2004,42.24,-71.81,214,0.0571658615136876
504,2004,42.24,-71.805,396,0.10601180891035963
505,2004,42.24,-71.8,747,0.20021470746108427
506,2004,42.24,-71.795,491,0.13150831991411702
507,2004,42.24,-71.79,142,0.03784219001610306
508,2004,42.24,-71.785,51,0.013419216317767043
509,2004,42.24,-71.78,35,0.00912506709608159
510,2004,42.24,-71.775,65,0.017176596886741814
511,2004,42.24,-71.77,65,0.017176596886741814
512,2004,42.24,-71.765,52,0.013687600644122383
513,2004,42.24,-71.76,102,0.027106816961889425
514,2004,42.24,-71.755,82,0.021739130434782608
515,2004,42.24,-71.75,64,0.016908212560386472
516,2004,42.24,-71.745,70,0.018518518518518517
517,2004,42.24,-71.74,21,0.0053676865271068165
518,2004,42.245,-71.865,39,0.010198604401502952
519,2004,42.245,-71.86,107,0.028448738593666128
520,2004,42.245,-71.855,66,0.017444981213097153
521,2004,42.245,-71.85000000000001,82,0.021739130434782608
522,2004,42.245,-71.845,112,0.029790660225442835
523,2004,42.245,-71.84,318,0.08507783145464305
524,2004,42.245,-71.83500000000001,706,0.1892109500805153
525,2004,42.245,-71.83,853,0.2286634460547504
